Ідентифікатор тендера;Кіль-ть лотів
UA-2016-05-05-000358-b;1
UA-2016-05-05-000361-b;1
UA-2016-05-06-000003-c;1
UA-2016-05-06-000004-a;1
UA-2016-05-06-000017-b;1
UA-2016-05-06-000020-a;1
UA-2016-05-06-000021-c;1
UA-2016-05-06-000025-a;1
UA-2016-05-06-000026-a;1
UA-2016-05-06-000029-b;1
UA-2016-05-06-000046-c;1
UA-2016-05-06-000052-c;1
UA-2016-05-06-000057-a;1
UA-2016-05-06-000062-a;1
UA-2016-05-06-000067-c;1
UA-2016-05-06-000074-c;1
UA-2016-05-06-000084-a;1
UA-2016-05-06-000085-a;1
UA-2016-05-06-000098-c;1
UA-2016-05-06-000099-c;1
UA-2016-05-06-000100-c;1
UA-2016-05-06-000101-c;1
UA-2016-05-06-000102-c;1
UA-2016-05-06-000107-a;1
UA-2016-05-06-000108-a;1
UA-2016-05-06-000109-a;5
UA-2016-05-06-000110-a;1
UA-2016-05-06-000111-a;1
UA-2016-05-06-000112-a;1
UA-2016-05-06-000197-b;1
UA-2016-05-06-000222-b;1
UA-2016-05-06-000246-b;1
UA-2016-05-06-000302-b;1
UA-2016-05-06-000357-b;1
UA-2016-05-06-000405-b;1
UA-2016-05-06-000406-b;1
UA-2016-05-06-000407-b;1
UA-2016-05-08-000001-a;1
UA-2016-05-10-000068-a;1
UA-2016-05-10-000088-b;1
UA-2016-05-10-000105-b;1
UA-2016-05-10-000157-b;1
UA-2016-05-10-000164-b;1
UA-2016-05-10-000185-c;1
UA-2016-05-10-000189-c;1
UA-2016-05-10-000247-b;1
UA-2016-05-10-000256-b;1
UA-2016-05-10-000265-c;3
UA-2016-05-10-000293-b;1
UA-2016-05-10-000363-b;1
UA-2016-05-10-000377-b;2
UA-2016-05-10-000385-b;21
UA-2016-05-10-000414-b;1
UA-2016-05-11-000021-a;1
UA-2016-05-11-000044-b;1
UA-2016-05-11-000052-a;4
UA-2016-05-11-000060-a;1
UA-2016-05-11-000087-a;1
UA-2016-05-11-000088-a;1
UA-2016-05-11-000091-a;1
UA-2016-05-11-000097-c;1
UA-2016-05-11-000103-a;9
UA-2016-05-11-000116-a;1
UA-2016-05-11-000117-a;1
UA-2016-05-11-000118-a;1
UA-2016-05-11-000119-a;1
UA-2016-05-11-000120-a;2
UA-2016-05-11-000122-b;2
UA-2016-05-11-000193-c;1
UA-2016-05-11-000248-b;1
UA-2016-05-11-000263-b;1
UA-2016-05-11-000273-b;1
UA-2016-05-11-000344-b;1
UA-2016-05-11-000353-c;1
UA-2016-05-11-000355-c;1
UA-2016-05-11-000362-b;2
UA-2016-05-11-000426-b;3
UA-2016-05-11-000427-b;1
UA-2016-05-11-000428-b;3
UA-2016-05-11-000429-b;1
UA-2016-05-11-000432-b;2
UA-2016-05-12-000005-b;1
UA-2016-05-12-000008-a;1
UA-2016-05-12-000012-b;2
UA-2016-05-12-000025-a;1
UA-2016-05-12-000099-a;1
UA-2016-05-12-000105-a;1
UA-2016-05-12-000110-c;2
UA-2016-05-12-000131-a;1
UA-2016-05-12-000132-a;1
UA-2016-05-12-000133-a;1
UA-2016-05-12-000134-a;1
UA-2016-05-12-000135-a;1
UA-2016-05-12-000136-a;1
UA-2016-05-12-000137-a;1
UA-2016-05-12-000138-a;1
UA-2016-05-12-000139-a;1
UA-2016-05-12-000140-a;1
UA-2016-05-12-000141-a;3
UA-2016-05-12-000142-a;1
UA-2016-05-12-000150-b;1
UA-2016-05-12-000236-b;1
UA-2016-05-12-000252-b;1
UA-2016-05-12-000304-b;1
UA-2016-05-12-000312-b;1
UA-2016-05-12-000314-b;1
UA-2016-05-12-000323-b;6
UA-2016-05-12-000361-c;11
UA-2016-05-12-000369-c;1
UA-2016-05-12-000375-b;1
UA-2016-05-12-000396-b;1
UA-2016-05-12-000406-c;1
UA-2016-05-12-000457-b;1
UA-2016-05-12-000461-b;1
UA-2016-05-12-000463-b;1
UA-2016-05-12-000464-b;1
UA-2016-05-12-000465-b;1
